英文,中文
person,人
bicycle,自行车
car,车
motorcycle,摩托车
airplane,飞机
bus,公共汽车
train,火车
truck,卡车
boat,船
traffic light,红绿灯
fire hydrant,消防栓
stop sign,停止标志
parking meter,停车收费表
bench,长椅
bird,鸟
cat,猫
dog,狗
horse,马
sheep,羊
cow,奶牛
elephant,大象
bear,熊
zebra,斑马
giraffe,长颈鹿
backpack,背包
umbrella,伞
handbag,手提包
tie,领带
suitcase,手提箱
frisbee,飞盘
skis,滑雪板
snowboard,滑雪板
sports ball,运动球
kite,风筝
baseball bat,棒球棒
baseball glove,棒球手套
skateboard,滑板
surfboard,冲浪板
tennis racket,网球拍
bottle,瓶子
wine glass,红酒杯
cup,杯子
fork,叉子
knife,刀
spoon,勺子
bowl,碗
banana,香蕉
apple,苹果
sandwich,三明治
orange,橙
broccoli,西兰花
carrot,萝卜
hot dog,热狗
pizza,比萨
donut,甜甜圈
cake,蛋糕
chair,椅子
couch,长椅
potted plant,盆栽
bed,床
dining table,餐桌
toilet,洗手间
tv,电视
laptop,笔记本电脑
mouse,鼠
remote,偏僻的
keyboard,键盘
cell phone,手机
microwave,微波
oven,烤箱
toaster,烤面包机
sink,下沉
refrigerator,冰箱
book,书
clock,钟
vase,花瓶
scissors,剪刀
teddy bear,泰迪熊
hair drier,吹风机
toothbrush,牙刷
